comment,date,writer_name,movie_name,rating
The movie was awesome. The music makes you feel like you want to get up and dance. Donald Glover is a force that ignites your soul in rhythm. Donald and Rihanna gave us that beautiful pure love that we all dream of....a love that makes your heart sing for no one but them. Sometimes we get love for a lifetime... but for others just a glimpse that will stay for a lifetime. I watched it twice back to back. Beautiful.,"April 13, 2019",TNR,Guava Island,5.0
"Ben Foster and Thomasin Mckenzie deliver compelling performances in a movie that has very little background music and minimal dialogue.  Their performances are both worthy of Oscar consideration.  The range of emotions displayed by both over a very emotive story line is an example of acting that is rarely seen today.  Equal measures sad over their respective struggles, and joyful over the obvious love of father and daughter, this is a movie that I highly recommend.","October 27, 2018",PCA,Leave No Trace,5.0
"Great plot twist with a great ""conspiracy theory"" imagination that some people might get turned off to but I liked it. The female lead was quite boring to me but the rest of the main characters were solid.","May 4, 2019",bruce brenners brother,Killers Within,4.0
"I felt the characters were really diverse and well done. Around top 5 compared to everything i've seen in that category. I feel the jokes are more ""hmph"" than ""lol"", but there are plenty and they are great. I feel this movie is a very big ""feel good"" movie, in that somehow the way all of the elements of the movie came together, it really felt me feeling nothing but positive emotion.","December 27, 2013",kyle cummings,Zombieland,4.0
"Maybe I was in the mood for garbage, but I thoroughly enjoyed it. While the original series was family friendly Scooby Doo storied smut, this was the opposite, meaning juvenile raunchy Scooby Doo storied smut. Despite the predictable story, and crude humor, it surprisingly had some original moments of intense action. Not realistic by any means, but not bad at all. There were some good laugh out loud moments as well, and plenty of bathing suit beauties. I'll likely never see it again, and be ashamed to recommend it, but I enjoyed watching it tonight.","May 14, 2018",Brian Butz,Baywatch,4.0
The story line makes you really makes me grateful for every day I'm alive.  This is a must see movie!,"May 10, 2019",Norma Lynn Hammett,Lost Fare,5.0
"I was afraid Tyler Hoechlin didn't have the chops for a role like this, but he's pretty much perfect as an estranged husband trying to save his marriage in post-apocalyptic America. Possibly too perfect - it's hard to understand why his wife no longer wants to be with him when he is willing to risk his life for her. Kate Bosworth as his wife will probably annoy you for about half the movie, but it's really all about her transformation from denial of the disintegration of America and her relationship to stepping up and taking responsibility for her life. Post-apocalyptic America is a lot of fun and appropriately full of cannibals, crazies and psychopaths. We really enjoyed this.","October 2, 2018",cr0wgrrl,The Domestics,4.0
Don t waste.your time with this movie. It makes no sense. It starts out well but then gets lost in a lot scary intended scenes  which Don t connect in the end  or have any logic to them.,"January 1, 2019",peace be with you,Hereditary (4K UHD),1.0
I gotta admit about halfway through the first story I was starting to think the movie wouldn't be fun to watch but I'd have to say the bad part of this movie only lasts about 5 minutes in my opinion. It's just that the first story has a few minutes of badly paced acting but it gets interesting before that story is over and the rest of the movie is actually pretty great.,"April 5, 2019",demonsRendangered,All Hallow's Eve,4.0
"I was so not enthralled with this movie. It bored me to death. I kept waiting for something interesting to happen. It never did. Keanu failed me in this movie. No action, no romance, and no intrigue. It was literally Siberia. Frozen and unapproachable.","September 1, 2018",Differently Driven,Siberia (2018),2.0
"For some reason, I have browsed right by this offering time and again....now I know why.  If you are film buff, it's a chance to see some favorite and really venerable actors in early roles - hamming it up, by comparison to their later performances.  Still, most of them have won top prizes lifelong for their commitment to playing the role fully at least.","April 26, 2019",Elle Shopper Lady,Primal Fear,3.0
"It takes a movie like this to remember how good an actor Woody Harrelson can be --and quite a leading actor, so handsome and tender. Pity that Hollywood has the tendency to typecast and they don't let him shine like he can. And why, oh why Hollywood doesn't do movies like this anymore?","February 24, 2017",path,Indecent Proposal,4.0
"This movie had my attention all the way through.  A must see, but be aware that the rape scene is gut wrenching.","May 11, 2019",zesty,The Accused,5.0
"This movie is a far cry from a cinematic masterpiece, but it did pose some thought provoking questions. The only reason I kept watching the movie was because of Viola Davis' performance as Lila. Jennifer Lopez as Eve wasn't awful, but her performance was a lacking, she had a great opportunity to shine. I think this movie had potential to develop a deeper plot and better character development, but it missed the mark. The ending, with the anticipation of a big twist fell short of living up to the hype.","August 26, 2015",Kate W,Lila and Eve,3.0
"... and virtually every gag in the film is based on the exploitation of stereotypes, thereby proving the value of stereotyping.","May 27, 2019",JayJay,Soul Plane,5.0
"to me how 'some' seem to think they know this womans story and what she went through. If you didn't live it, weren't there standing along side her, than, you have no clue. The thing is women are never believed but worse, 'other' women bashing them , calling them liars. Maybe there are parts of this movie made to be sensationalized but none the less, it's a tragic tale and one worth watching.","March 30, 2019",Mama Love,Apartment 407,3.0
"Acting was great. The story wasn't long, but because of that it was to the point. It starts off as a fable and ends like a modern day fable making it super relevant. Even if circumstances in your daily life aren't as dire there's something everyone can take from this story.","April 13, 2019",Dave,Guava Island,5.0
"This is an exceptionally well done movie illustrating challenges experienced within families of veterans with PTSD, in this film a father and daughter. It is well acted; has beautiful cinematography; and an unusual storyline. It has received many positive reviews and has been nominated for the Independent Film Spirit Awards for Best Film, Best Director, Best Supporting Actress. It has already received accolades at the New Hampshire Film Festival as well.","November 27, 2018",Sylvia,Leave No Trace,5.0
I like shows that don't make the actors stupid by doing things that any military or trained officer wouldn't do. Like a B rated cheerleader out in the woods movie it has the same kind of acting.,"June 2, 2019",lewis parker,Killers Within,2.0
"I think you would have to be an actual Zombie to rate this movie more than 1✫. Oh, for a moment I forgot that Zombies  aren't real, but lemmings are.","May 17, 2019",Betty,Zombieland,1.0
I have watch all the Madea movies. Tyler Perry does a great job writing the madea series.  I can't wait to see what madea movie he is coming up with. His Madea Halloween movies are funny.,"January 30, 2018",Erin S.,Tyler Perry's Boo! 2 A Madea Halloween,5.0
Made it to the 8:30 mark and turned it off. One of these stupid movies that takes itself oh-so-serious but is nothing but a pile of steaming dogsh*t.,"June 1, 2019",ancient_sediments,Lost Fare,1.0
If you partake in anything that enhanced your giggle factor and amazement at things that are only marginally amazing I suggest partaking before watching this. If you do this is worth a watch. If not your mileage may vary,"January 11, 2019",My Name,The Domestics,3.0
"Hereditary reminded me more or a European-styled horror film than one made in the US. It has a slower pace and doesn't rely on jump-scares to makes its points. Its got a decent plot, great acting and enough shocking imagery that'll stay with you long after the film is over.","December 30, 2018",JC,Hereditary (4K UHD),4.0
Do you like movies where the main characters sit down and watch a movie? Then this is the movie for you! Do you NOT want to watch a movie where 80% of the movie is people watching another movie? Then you will find this movie annoying as I did. Skip it.,"April 21, 2019",A. R.,All Hallow's Eve,2.0
"Wish I could give a -5 stars, what a waste of money.","August 19, 2018",Amazon Customer,Siberia (2018),1.0
This movie is all about outstanding performances by the three leads.,"November 14, 2015",Red,Primal Fear,5.0
"A lot has already been said about the flaws of this movie, and I have to agree: Demie Moore is wooden (but then again, I never considered her a good actress, although I do think that she is a stunning natural beauty); Robert Redford just a tad too old (again - love the guy AND the acting, but still...), but above all, the plot has holes, the dialogue is flat and the characters lack dimension.","January 10, 2009",Ana_y_lat,Indecent Proposal,4.0
Its not only an 80's classic but Jodie won the Oscar's for this role...I've been her fan ever since...the story line and direction is still very good even in this time and the subject of rape was taken very fairly but still needs tons of attention in terms of prosecution and jail terms that should be given a LIFETIME WITHOUT BAIL!!!! Period.,"June 1, 2019",Amazon Customer,The Accused,5.0
"Excellent movie that is thought provoking.  It makes you wonder what goes through the minds of mothers who lose their kids too early.  In this case, the mother, Lila, goes to a support group after her son was killed by a drive-by shooting.  While at the group, she met a friend, Eve, who she chooses to be her sponsor so that she can be supported to reach her goals.  Lila is able to relate with Eve because Eve seems to know what Lila is feeling and offers just the right advice to make her feel better each time.  However, is Eve really trying to help Lila or is Eve using Lila to satisfy her own craving for danger.  What you discover later in the movie will be a shock.  It's a smart movie and well directed.  The acting is quite good including J.Lo.  Nice job and great story telling.","September 15, 2017",nyc,Lila and Eve,4.0
My wife loves this movie but someone borrowed it permanently so I'm glad I found it here and replaced it for her. :-),"January 30, 2019",Darnell Jones,Soul Plane,5.0
This is a movie that people need to watch. There are master manipulators in this world who know all the right things to say to draw you in and earn your trust. So many children and women have either been kidnapped and forced or conned in sex slavery. It’s absolutely heart-wrenching to think about a child being abused in that way.,"April 10, 2019",Kdh,Apartment 407,3.0
Wow Amazon what's up with this crap.  Rihanna next to the real actors just makes her look even more ridiculous.  Her non acting is distracting.  Why is she here?  Window dressing? This garbage looks like it was made in the 70s.,"April 13, 2019",lorhop99,Guava Island,1.0
I will not tell you the plot as others have already done that with too much detail. I will offer my review of the movie and answer some of the criticisms of other reviewers.,"August 2, 2018",Kim Hoag,Leave No Trace,5.0
I love making furniture and when the mom brings dinner from stove top to right on top of the unprotected wood finish without hesitation shows this lady is areal winner meaning most people who understand craftsmanship and elbow grease cringe when some idiot burns the top of the kitchen table  or your wife's friend throws her big crappy bag on your cars paint job then slides it off so it scratches right across and when you say something she gets all butt hurt and your wife tells you say's your mean because you told the overweight always got something in her mouth eating diabetes having stretch pants wearing slob got a tank top on and a mouse tattoo on her neck dang sorry to rant I get upset when stuff get ruined I guess......HAHAHAHAHAHAHAHAPUT THE POT ON A COASTER DUMMY!,"May 7, 2019",wylie,Killers Within,3.0
"The original, worth keeping my VCRs going.  This film may seem quaint today, but I prefer it to the remake.  It is an original. Plus it features two stars just starting out, Matthew Broderick and Ally Sheedy.  This was released on VHS in1983, and besides watching the stars grow up and move on, I, like so many others are surprised and disappointed to find that after forty years, we've not moved much involving macro technology.  I purchased this 'Used. Very good'.  The only thing missing is the plastic wrapper. Thanks Amazon, this is in excellent condition, even the case. Well worth it, even if it didn't qualify for prime (LOL).","August 1, 2017",Donna Swiniuch,WarGames,5.0
"My Wife and I enjoyed this film and both got a lot of laughs while watching. All the actors, especially Mel Gibson, were great.  We both agreed it was better than the first one with the addition of the fathers (or grandfathers).","November 16, 2018",PawPawRon,Daddy's Home 2,5.0
Give it a chance. Watch it.,"November 4, 2018",Juan Hernandez Jr.,Lost Fare,5.0
"I have mixed feelings on the movie.  For one thing, they never explained what brought about the apocalypse.  Nor a time frame for the gangs to get to where they were.  But it put forth a future that was very brutal, and in this movie, there is no shortage of blood.  And early on, they fall back on the cliche that if you tell the gang member what they want to know, you will live.  One clear mistake I noticed is when the shot went through the windshield to hit Nina, she had a bloody shoulder wound, but there was blood on the windshield where the bullet went through, which makes no sense.  But other than that, the movie was tight.  Mark and Nina are the central characters, other than Betsy, and their marriage is not that great.  It is Nina that undergoes the change during their journey.  Nina will really annoy a person for nearly the first half of the movie.  The radio voice really added to the movie, and the voice reminded me of Rush, although the language is VERY salty.  The movie was slow at times and Mark and Nina did some really stupid things so they were flawed individuals.  The gangs have a element of Mad Max about them.  And the movie portrays that society is really bottom feeding, and very grimy.  Nathan and Theresa were perhaps the two most noble characters in the entire movie.  In all a solid movie, but breaking no new ground.","May 25, 2019",Avid reader,The Domestics,4.0
Just say no,"December 29, 2018",Kindle Customer,Hereditary (4K UHD),1.0
"This certainly came as a surprise. After watching the first All Hallows Eve I had what I consider to be reasonable expectations for the sequel. The first movie was fantastic and I wouldn't mind watching it again. However, the sequel not only drops the ball but also feels like a lazy slap to the face.","May 5, 2019",Patrick L James,All Hallows' Eve 2,1.0
"This is not typical Keanu Reeves in Hollywood fodder.  A diamond dealer of the black market sort, Keanu gets betrayed by a partner while falling in love with a sensitive Russian cafe' owner, Katya.  The story intertwines between Katya and Keanu and the Russian mafia, and comes to a dark conclusion, but with a powerful statement by the character played by Keanu.  Recommended for intelligent minds, not action seekers.","December 2, 2018",trumpsahead,Siberia (2018),4.0
"How have I not seen this movie before?? Great classic lawyer drama, helmed by Richard Gere in his prime - and really, who can top that..? I'll admit, I'd have watched it just to look at him for 2 hours. Thought I had the twist figured out, but the bank shot at the end got me - and I love to be got. 😉","March 11, 2017",M. Ackermann,Primal Fear,5.0
I'm amused to see 3 and 4 star ratings from people who've watched it multiple times.,"October 30, 2017","Thomas G. Field, Jr.",Indecent Proposal,5.0
not cliche at all. deep and rich. many layers for you to feel and ponder on.,"May 24, 2019",Y. Guo,The Accused,5.0
"I don't know what the high ratings are about. This is a typical revenge film caste in the theme of mothers who have lost their sons and daughters to gang rated violence. The character development left me not bonding to any of the characters, and the plot was thin, underdeveloped, anticlimactic, and in some ways, fairly unbelievable too. It was worth 3 stars, but only because of the acting and filming, which was top notch.","May 26, 2017",NULL,Lila and Eve,3.0
It is exactly as advertised.,"August 1, 2013",Walter Marx,Soul Plane,3.0
"I find it implausible that anyone who went through an ordeal such as the one portrayed in this fictional dramatization would volunteer to relive it on film. Even if this is partially factual, the acting is more painful than the storyline. Plus, it is not fair to the actual victims being kidnapped through no fault of their own to be compared with those who knowingly put themselves at risk by doing idiotic things like going to modeling session with some random dude who hit on you in public. If people were not so self absorbed the rate of adult sex trade kidnappings would decrease considerably in a very short time. In short, don't do stupid things because of your vanity.","May 3, 2019",Mimi G,Apartment 407,1.0
"Reading some of the reviews, and a few people had a problem with the religious aspect of the movie. Let me just say, as an atheist, that the religious aspect isn't the point of the movie. Is it so bad that many people in real life have a religious belief? To me, the more important message was the faith in our fellow human beings that when confronted with such atrocity as human sex trafficking and forced prostitution, that there are those that would stand up and make a choice to help the women who are caught in this horrific situation, and if faith in a God is what helps them find the strength, then what is wrong with that?","December 19, 2017",Andrew Clark,Priceless,5.0
"Based on the cover art and the low IMDB score, I threw this on as background noise while I did stuff at my desk, which is what I do with schlocky horror movies. To my surprise, I found myself watching the movie more than I was doing my other stuff. I was expecting low-budget ridiculousness, but it was a good story, if unremarkable, I felt invested in the characters, and I was impressed at the overall production quality, especially the acting and direction. Recommended!","August 30, 2017",Anon,The Wicked,4.0
I have watch all the Madea movies. Tyler Perry does a great job writing the madea series.  I can't wait to see what madea movie he is coming up with. His Madea Halloween movies are funny.,"January 30, 2018",Erin S.,Tyler Perry's Boo! 2 A Madea Halloween,5.0
"Frieda Ferrell the actress portrays herself in what she claims to be a true story.  However, it is not a true story.  Frieda Ferrell was a model before the alleged incident, not a Pilates instructor.  The alleged event happened in London, not the US.  She did not have a daughter.  She was allegedly held for three days.  After her alleged escape, she waited several days to contact the police and she never contacted her boyfriend at the time again.  The police apparently found her story implausible, although they did investigate.  Of course her alleged captor never apprehended.  The police have not corroborated her story or commented on the case.  While it is important to believe people when they report crimes, it is also important to require evidence and corroboration and not believe every story you hear, especially when the story is presented in a way that seems to be more for the purpose of advancing your career rather than stopping and punishing terrible crimes.  The movie itself is a piece of trash, even as a horror thriller, with no psychological tension.","February 20, 2019",Shakti Skye,Apartment 407,1.0
"This one maybe low budget, but it was WICKED, & CREEPY. I loved it, so make the Pop Corn, and enjoy. The REVIEWS don't give it justice to give it fairness, it's to each it's own. Give it fair-play!!!!!!","September 12, 2016",Amazon Customer,3: All Hallows Eve,5.0
"First and foremost, Richard Gere is so damn charming with that look and that smile, I was already knee deep before I knew what the movie was even about.  The plot was great and I didn't want it to end! That never happens to me.  They had me start to finish.  Bravo","March 6, 2017",K. Byrne,Primal Fear,5.0
- A good story with a just ending -,"July 27, 2018",Elle Shopper Lady,Double Jeopardy (1999),4.0
"Overall, this is a very enjoyable DVD, although it wasn't quite enough, but then, who can get enough of 1D? I'm 60 years old, but I think these boys are chock full of talent, and I love them all, with Louis and Harry being my favorites. I wish it had gone more into the personal lives of the boys, and maybe more songs too, but overall I think it is worth the purchase. I'm glad I decided to buy it.","May 4, 2016",Randi C. Holbrook,One Direction: This Is Us (Extended Cut),4.0
"I bought this only for Cadillac Man. I loved how Robin William's character Joey was just a regular guy who took control of a dangerous situation. Joey worked for a used car lot and Tim Robbin's character Larry comes in a takes everyone hostage because he is worried that his wife who works there is cheating on him. Larry is not a very good hostage taker and Joey has to tell him how to be a hostage taker. Joey has made mistakes in his life too so that helps him understand and help Larry. The movie shows how everyone can get in trouble sometimes but that doesn't make them a bad person. Even though it is a hostage situation, it is not scary. It is actually a comedy. If you are a Robin Williams fan and want to take a look at his earlier work, this is a fun movie to watch.","October 5, 2014",Jolene Wipf,Cadillac Man,5.0
"Not generally my kind of movie, bought it for the wife. But, I have to admit, I really enjoyed it. I have always liked Queen Latifah Movies, they have a certain comedic element to them that brings me back to classic comedy. Beauty Shop delivers in so many ways.  This movie boasts a number of stars including Kevin Bacon. In this Bacon is the man you love to hate, right from the start and Latifah is the woman who is the little guy who has to rise to the level of the competitive business she wants to be in. The movie will have you laughing from start to finish. I highly recommend it to anyone who likes to laugh, and doubly so to anyone who likes Queen Latifah.","June 21, 2017",Rodney C Walmer,Beauty Shop,5.0
"I don't understand how the top critical review didn't grab this person. The movie is a very touching movie. I guess some people in this world don't get the true meaning of love. It grabbed me and I embraced it. Bravo for the Actors, Writers and Producers. For the pooh pooh people has someone ever touched you life like this movie and eventually you gave in to the love? If not I really feel sorry for you. I have that kind of Love with my husband now over thirty years now and part of the movie really touched me. When the Dad was explaining how he cheated on his wife and how he told her right away. I did that with my husband thirty years ago and I told my boyfriend right away who is now my husband. I guess some people like myself have a conscious and was scared and not quite sure of what I was getting into but at least I had the balls to say it and I was lucky enough to have married that boyfriend who forgave me. Life lessons are in this movie and True Love was shown. I know this review has nothing to do about the movie but when it comes down to it Love comes in all colors shapes sizes and The Big Sick showed it and I loved how it showed it I am also glad that it was based on a true story. So again if you want to really see a good movie about Love take a two hours out of you life and feel it. Because I sure did. Thank You Amazon for making this movie I hope the critical reviewers get to feel this kind of Love someday every being deserves that feeling.","November 24, 2017",Mushroomie,The Big Sick,5.0
"Uncreative title, bland movie jacket, never heard of it - expectations were running low. But...ZING: great movie. Despite its romcom overlay, it's quite a profound examination of the complexities of friendship, loneliness, uncertainty, ambition, joy, love. In short, it's an insightful look at this wacky journey called ""life."" I particularly like the fact there are no ""bad"" guys - just a bunch of young adults making their way through life as best they can, and making a go of it in the end. And as a bonus? Some very funny lines.","December 26, 2017",laurie,What If,5.0
"A wonderful film about a girl's senior year in Catholic school, her first serious boyfriend and her dreams of moving far away to attend college. It is all realistic from the way she longs to be in NY rather than the boring town she grew up in to her very realistic mother/daughter relationship that is frustrating sometimes and loving too. She is embarrassed by her parents and the fact that she isn't one of the rich girls. She buddies up with kids that seem very intelligent and unique only to discover they are just pretentious. It might be the most true mother/ daughter relationship I have ever seen in a film. The writing is excellent. I hate films with teenagers who all talk like adults in a Woody Allen film. The teens here speak realistically for their age. The acting is excellent. Both Saoirse Ronan and Lori Metcalf are perfect in their roles. Highly recommended.","March 27, 2018",M. Mara,Lady Bird,5.0
"The description says and I quote, ""a solitary janitor whose life is transformed after he becomes the guardian of his 16 yr old nephew."" Spoiler alert: his life is NOT transformed, he is the same as when he started. Two hours of my life I will not get back, I kept hoping for something to redeem this movie but there is none. For those saying this is ""real life"", two things, one I don't watch movies for real life, I watch to be moved, to be inspired,  to be uplifted. And two, real life is actually not as bad as this movie was, this isn't ""real life"", this is ""worst case scenario"" no hope garbage.","August 31, 2018",T. Travis,Manchester By The Sea,1.0
"“ROAD HOUSE"" This is THE iconic cult classic movie that won 4 Oscars in 1989.  Patrick Swayze and Sam Elliott are at their heroic kickass best.  The great supporting cast headed by a sadistic Ben Gazzara as the tyrannical smug landowner is perfect; as is Kevin Tighe's white-haired dignified club owner, and the smartly sexy Kelly Lynch.  Add a motley group of bar dwellers that can never again be duplicated, and you have a vintage action-packed epic movie.","April 2, 2018",S. J. VOLK,Road House,5.0
"In case you can't tell from the title, cover, trailer, blurb, etc., this is a sh!ts and giggles gun fight movie. That's it. No before, no after, no major plot, just a lot of good actors who rolled around in the 70s section of the wardrobe dept,  loaded up on guns and met up in a warehouse full of charges for no good reason. In that way, its absolutely fantastic.","January 13, 2018",Shannon Nikic,Free Fire,4.0
"So maybe this isn't a five star film.. probably not for most.  I, on the other hand love a good unsolicited laugh, and I'm no pushover for a laugh..  This movie is really funny, with an obvious all star cast who seem to have made this film out of the love for the story.. great cameo's and small role players.  I would never give anything away, I just say if you need a break from the norm, and want a smile on your face.. give this gem a shot..","June 2, 2018",Shallow Graves,The Disaster Artist,5.0
"If you thought Martin Scorsese would go into his twilight years resting on past successes this film will make you think again.  ""Silence"" is a film of immense power and depth that will make one examine your long held beliefs.  Scorsese posits here the idea that it is much easier to sacrifice oneself for your faith but is it conscionable to sacrifice others for your convictions?  This is not an easy film to watch but compelling nonetheless.  When the film concludes its title garners meaning and resonance.  Enough cannot be said about Andrew Garfield as Father Rodrigues, an idealistic missionary sent to feudal Japan to investigate claims of persecution against Christians.  I couldn't help but contrast his work here to his equally fine performance in Mel Gibson's ""Hacksaw Ridge""  as Desmond Doss, a religious conscientious objector who served valiantly as a medic in the Pacific Theatre during World War II.  Both characters find their faith tested who ultimately make fateful choices.  Liam Neeson is terrific as Father Ferrera the enigmatic mentor of Rodrigues who preceded him to Japan whose choices ultimately influence the younger cleric.  The film leaves you asking yourself what would you do if confronted with a gut wrenching choice and life leaves no easy answers.","April 9, 2017",David E. Baldwin,Silence,5.0
"If Richard Flarerty was only the shortest man to ever be in the US Army and A Green Beret that would certainly be a unique story in itself.  Flarety was much more though.  He was a bonafide war hero and beloved leader of the men he commanded.  A small stature with a oversized shadow.  Yet he was cut from the Army that was his life after two tours in Vietnam.  This story documents as much as can be known about a man whose post army life was spent in a variety of jobs freelancing and alternating between classified missions conducted by the CIA and NSA.  Eventually he ended up with a mundane Postal Service job which he hated and after some years walked away from.  This is when he began his homeless period.  It would seem farfetched of course but much of Richard Flarertys life could be summed up as such.  What an interesting man and totally unique story.  I think the movie does a great job of shedding some light into this hero who preferred dangerous work over the everyday.  Obviously for a man who preferred to remain mostly obscure there must be so much more, but what's here hits some strong points and gives a nice memorial to a forgotten hero.  I was fascinated by this documentary and recommend it to anyone slightly interested.","March 28, 2019",John Werner,The Giant Killer,4.0
"Fantastic movie! Absolutely loved it that Daniel Craig was playing opposite of his usual suave James Bond character. It is a quirky movie that some might consider to be slow, however I thought it was very clever and funny. Enjoyed the heck out of it!","January 25, 2018",Starlene L. Grochowicz,Logan Lucky,5.0
"I was one of the hundreds of part-time after work women's liberation feminist era organizers (of speak-outs, conferences, rallies, newsletters, women's center efforts) and was heartened by the photographs, film clips and interviews that showed groups of women working together throughout the film as those best depict the momentum of the times. I disagree with one of the last statements that radicals were all so necessary for the changes we were able to accomplish. Radicals as we generally think about them might  talk and write and sometimes teach at universities and these days tweet and FB post. Instead most of the ""radicals"" Ms. Ceballos refers to for the Miss America demonstration were just middle road  young women participating in protests many young people did at the time. However, it was hundreds and thousands of women in the middle who stepped up and out to make REAL change happen back then and in recent years, the same women responsible for the upcoming very possible election of the first woman president of the United States.Also many if not most of us were aware of the efforts of early feminists as most women's liberation anthologies included essays about them.","July 6, 2016",Lynne Shapiro,She's Beautiful When She's Angry,4.0
"Maybe I'm a sucker for heist movies with comedic and human elements, but I loved this both times I've seen it.","July 16, 2018",Justin Moore,Logan Lucky,5.0
"If you thought Martin Scorsese would go into his twilight years resting on past successes this film will make you think again.  ""Silence"" is a film of immense power and depth that will make one examine your long held beliefs.  Scorsese posits here the idea that it is much easier to sacrifice oneself for your faith but is it conscionable to sacrifice others for your convictions?  This is not an easy film to watch but compelling nonetheless.  When the film concludes its title garners meaning and resonance.  Enough cannot be said about Andrew Garfield as Father Rodrigues, an idealistic missionary sent to feudal Japan to investigate claims of persecution against Christians.  I couldn't help but contrast his work here to his equally fine performance in Mel Gibson's ""Hacksaw Ridge""  as Desmond Doss, a religious conscientious objector who served valiantly as a medic in the Pacific Theatre during World War II.  Both characters find their faith tested who ultimately make fateful choices.  Liam Neeson is terrific as Father Ferrera the enigmatic mentor of Rodrigues who preceded him to Japan whose choices ultimately influence the younger cleric.  The film leaves you asking yourself what would you do if confronted with a gut wrenching choice and life leaves no easy answers.","April 9, 2017",David E. Baldwin,Silence,5.0
This movie is not for those who are offended by curse words or violence or social/political incorrectness.,"January 3, 2016",Amazon Customer,Seven Psychopaths,5.0
"If you thought Martin Scorsese would go into his twilight years resting on past successes this film will make you think again.  ""Silence"" is a film of immense power and depth that will make one examine your long held beliefs.  Scorsese posits here the idea that it is much easier to sacrifice oneself for your faith but is it conscionable to sacrifice others for your convictions?  This is not an easy film to watch but compelling nonetheless.  When the film concludes its title garners meaning and resonance.  Enough cannot be said about Andrew Garfield as Father Rodrigues, an idealistic missionary sent to feudal Japan to investigate claims of persecution against Christians.  I couldn't help but contrast his work here to his equally fine performance in Mel Gibson's ""Hacksaw Ridge""  as Desmond Doss, a religious conscientious objector who served valiantly as a medic in the Pacific Theatre during World War II.  Both characters find their faith tested who ultimately make fateful choices.  Liam Neeson is terrific as Father Ferrera the enigmatic mentor of Rodrigues who preceded him to Japan whose choices ultimately influence the younger cleric.  The film leaves you asking yourself what would you do if confronted with a gut wrenching choice and life leaves no easy answers.","April 9, 2017",David E. Baldwin,Silence,5.0
"Surprise movie of the year, I think.  Went in knowing nothing, laughed throughout.  Oceans 11 and O Brother Where Art Thou blended.  Well acted, well cast.  Was the first movie from the stack we watched Christmas morning--my wife insisted!","January 4, 2018",T.Snyder,Logan Lucky,5.0
"If you thought Martin Scorsese would go into his twilight years resting on past successes this film will make you think again.  ""Silence"" is a film of immense power and depth that will make one examine your long held beliefs.  Scorsese posits here the idea that it is much easier to sacrifice oneself for your faith but is it conscionable to sacrifice others for your convictions?  This is not an easy film to watch but compelling nonetheless.  When the film concludes its title garners meaning and resonance.  Enough cannot be said about Andrew Garfield as Father Rodrigues, an idealistic missionary sent to feudal Japan to investigate claims of persecution against Christians.  I couldn't help but contrast his work here to his equally fine performance in Mel Gibson's ""Hacksaw Ridge""  as Desmond Doss, a religious conscientious objector who served valiantly as a medic in the Pacific Theatre during World War II.  Both characters find their faith tested who ultimately make fateful choices.  Liam Neeson is terrific as Father Ferrera the enigmatic mentor of Rodrigues who preceded him to Japan whose choices ultimately influence the younger cleric.  The film leaves you asking yourself what would you do if confronted with a gut wrenching choice and life leaves no easy answers.","April 9, 2017",David E. Baldwin,Silence,5.0
"This is a magical film, literally poetic. Magic surrounds the introspective bus driver and his wife. They live in a community thriving in the shadow of the great American poet William Carlos Williams. Everyone seems to be a quiet poet of one sort or another. The bus driver protagonist scribbles perpetually refined notes in a notebook, his secret notebook. We are reminded later of how much this resembles a school girl with her diary. Yet he resembles others in that everyone in town seems to be refining his own feelings in black and white. His wife, lovingly devoted to him, his writings, and their home, is a piece of poetry herself as she decorates their home in seemingly endless exploration and rediscovery of that basic black and white contrast. If you need a lot of racket to appreciate a film, watch Transformers again. But if you appreciate purity, reflection, and poetry, which can occur so rarely in American film, you will find this a five star film.","June 26, 2017",William,Paterson (4K UHD),4.0
I didn't knew that this was a remake of the German film and honestly I don't care that much.,"March 19, 2016",Hee Chul Kwon,Barefoot,5.0
"There are so many ape/gorilla movies out there, its hard to tell the players without a scorecard. For most part - if you watch just once you might get a small buzz off of action/scenery etc. After that forget it. It beats counting the frogs jumping in your swimming pool (or something like that). The folks did best job expected with such a lame plot - but who cares when there's plenty of popcorn to go around - you get my drift. Sit back and relax -","July 4, 2017",Inquiring Minds,Congo,3.0
"DENZEL!!. What a great actor! Denzel really immerses himself in his role and gives a tremendous performance in this action drama. I am surprised I missed this movie when it was released years ago. There is good dialogue, beautiful actresses, and much mystery and intrigue. Denzel's characters are not always the best role models and this movie is another example of this as he gets mixed up in a murder mystery and sexual exploits. What makes this movie so good is how his character stays one step ahead as he weaves himself in and out of trouble in clever ways. There are many twists and turns keeping the audience in suspense and rooting for the characters. The writing is very good with characters displaying great emotion, wit, humor, and ""believability"" in their roles. They also have a great rapport with each other whether they are on the same side or pitted against one another. Overall, this is a very enjoyable action movie that I definitely recommend","October 8, 2017",RH,Out of Time,4.0
